filename,width,height,class,xmin,ymin,xmax,ymax
train_image_0.jpg,409,300,klts,54,193,111,262
train_image_0_a.jpg,409,300,klts,54,193,111,262
train_image_0_b.jpg,409,300,klts,54,193,111,262
train_image_0_c.jpg,409,300,klts,54,193,111,262
train_image_0_d.jpg,409,300,klts,54,193,111,262
train_image_0_e.jpg,409,300,klts,54,193,111,262
train_image_1.jpg,409,300,klts,48,200,119,259
train_image_10.jpg,409,300,klts,129,204,201,259
train_image_100.jpg,409,300,kltxs,134,210,187,251
train_image_100_a.jpg,409,300,kltxs,134,210,187,251
train_image_100_b.jpg,409,300,kltxs,134,210,187,251
train_image_100_c.jpg,409,300,kltxs,134,210,187,251
train_image_100_d.jpg,409,300,kltxs,134,210,187,251
train_image_100_e.jpg,409,300,kltxs,134,210,187,251
train_image_101.jpg,409,300,kltxs,129,15,184,57
train_image_101_a.jpg,409,300,kltxs,129,15,184,57
train_image_101_b.jpg,409,300,kltxs,129,15,184,57
train_image_101_c.jpg,409,300,kltxs,129,15,184,57
train_image_101_d.jpg,409,300,kltxs,129,15,184,57
train_image_101_e.jpg,409,300,kltxs,129,15,184,57
train_image_102.jpg,409,300,kltxs,131,18,185,62
train_image_102_a.jpg,409,300,kltxs,131,18,185,62
train_image_102_b.jpg,409,300,kltxs,131,18,185,62
train_image_102_c.jpg,409,300,kltxs,131,18,185,62
train_image_102_d.jpg,409,300,kltxs,131,18,185,62
train_image_102_e.jpg,409,300,kltxs,131,18,185,62
train_image_10_a.jpg,409,300,klts,129,204,201,259
train_image_10_b.jpg,409,300,klts,129,204,201,259
train_image_10_c.jpg,409,300,klts,129,204,201,259
train_image_10_d.jpg,409,300,klts,129,204,201,259
train_image_10_e.jpg,409,300,klts,129,204,201,259
train_image_11.jpg,409,300,klts,128,15,184,84
train_image_11_a.jpg,409,300,klts,128,15,184,84
train_image_11_b.jpg,409,300,klts,128,15,184,84
train_image_11_c.jpg,409,300,klts,128,15,184,84
train_image_11_d.jpg,409,300,klts,128,15,184,84
train_image_11_e.jpg,409,300,klts,128,15,184,84
train_image_12.jpg,409,300,klts,126,17,195,74
train_image_125.jpg,409,300,t1,51,1,168,66
train_image_125.jpg,409,300,t2,123,55,177,128
train_image_125.jpg,409,300,t3,57,62,132,131
train_image_125_a.jpg,409,300,t1,51,1,168,66
train_image_125_a.jpg,409,300,t2,123,55,177,128
train_image_125_a.jpg,409,300,t3,57,62,132,131
train_image_125_b.jpg,409,300,t1,51,1,168,66
train_image_125_b.jpg,409,300,t2,123,55,177,128
train_image_125_b.jpg,409,300,t3,57,62,132,131
train_image_125_c.jpg,409,300,t1,51,1,168,66
train_image_125_c.jpg,409,300,t2,123,55,177,128
train_image_125_c.jpg,409,300,t3,57,62,132,131
train_image_125_d.jpg,409,300,t1,51,1,168,66
train_image_125_d.jpg,409,300,t2,123,55,177,128
train_image_125_d.jpg,409,300,t3,57,62,132,131
train_image_125_e.jpg,409,300,t1,51,1,168,66
train_image_125_e.jpg,409,300,t2,123,55,177,128
train_image_125_e.jpg,409,300,t3,57,62,132,131
train_image_126.jpg,409,300,t1,58,7,162,109
train_image_126.jpg,409,300,t2,122,58,183,146
train_image_126.jpg,409,300,t3,64,97,132,182
train_image_126_a.jpg,409,300,t1,58,7,162,109
train_image_126_a.jpg,409,300,t2,122,58,183,146
train_image_126_a.jpg,409,300,t3,64,97,132,182
train_image_126_b.jpg,409,300,t1,58,7,162,109
train_image_126_b.jpg,409,300,t2,122,58,183,146
train_image_126_b.jpg,409,300,t3,64,97,132,182
train_image_126_c.jpg,409,300,t1,58,7,162,109
train_image_126_c.jpg,409,300,t2,122,58,183,146
train_image_126_c.jpg,409,300,t3,64,97,132,182
train_image_126_d.jpg,409,300,t1,58,7,162,109
train_image_126_d.jpg,409,300,t2,122,58,183,146
train_image_126_d.jpg,409,300,t3,64,97,132,182
train_image_126_e.jpg,409,300,t1,58,7,162,109
train_image_126_e.jpg,409,300,t2,122,58,183,146
train_image_126_e.jpg,409,300,t3,64,97,132,182
train_image_127.jpg,409,300,t1,53,1,167,71
train_image_127.jpg,409,300,t2,119,52,180,130
train_image_127.jpg,409,300,t3,57,59,133,127
train_image_127_a.jpg,409,300,t1,53,1,167,71
train_image_127_a.jpg,409,300,t2,119,52,180,130
train_image_127_a.jpg,409,300,t3,57,59,133,127
train_image_127_b.jpg,409,300,t1,53,1,167,71
train_image_127_b.jpg,409,300,t2,119,52,180,130
train_image_127_b.jpg,409,300,t3,57,59,133,127
train_image_127_c.jpg,409,300,t1,53,1,167,71
